Designator,Mid X,Mid Y,Rotation,Layer
D1,123.6842,-102.8808,0.0,top
D10,127.9094,-116.6808,0.0,top
D11,132.1346,-102.8808,0.0,top
D12,132.1346,-106.3308,0.0,top
D13,132.1346,-109.7808,0.0,top
D14,132.1346,-113.2308,0.0,top
D15,132.1346,-116.6808,0.0,top
D16,136.3598,-102.8808,0.0,top
D17,136.3598,-106.3308,0.0,top
D18,136.3598,-109.7808,0.0,top
D19,136.3598,-113.2308,0.0,top
D2,123.6842,-106.3308,0.0,top
D20,136.3598,-116.6808,0.0,top
D21,140.585,-102.8808,0.0,top
D22,140.585,-106.3308,0.0,top
D23,140.585,-109.7808,0.0,top
D24,140.585,-113.2308,0.0,top
D25,140.585,-116.6808,0.0,top
D26,123.6842,-116.6808,180.0,bottom
D27,123.6842,-113.2308,180.0,bottom
D28,123.6842,-109.7808,180.0,bottom
D29,123.6842,-106.3308,180.0,bottom
D3,123.6842,-109.7808,0.0,top
D30,123.6842,-102.8808,180.0,bottom
D31,127.9094,-116.6808,180.0,bottom
D32,127.9094,-113.2308,180.0,bottom
D33,127.9094,-109.7808,180.0,bottom
D34,127.9094,-106.3308,180.0,bottom
D35,127.9094,-102.8808,180.0,bottom
D36,132.1346,-116.6808,180.0,bottom
D37,132.1346,-113.2308,180.0,bottom
D38,132.1346,-109.7808,180.0,bottom
D39,132.1346,-106.3308,180.0,bottom
D4,123.6842,-113.2308,0.0,top
D40,132.1346,-102.8808,180.0,bottom
D41,136.3598,-116.6808,180.0,bottom
D42,136.3598,-113.2308,180.0,bottom
D43,136.3598,-109.7808,180.0,bottom
D44,136.3598,-106.3308,180.0,bottom
D45,136.3598,-102.8808,180.0,bottom
D46,140.585,-116.6808,180.0,bottom
D47,140.585,-113.2308,180.0,bottom
D48,140.585,-109.7808,180.0,bottom
D49,140.585,-106.3308,180.0,bottom
D5,123.6842,-116.6808,0.0,top
D50,140.585,-102.8808,180.0,bottom
D6,127.9094,-102.8808,0.0,top
D7,127.9094,-106.3308,0.0,top
D8,127.9094,-109.7808,0.0,top
D9,127.9094,-113.2308,0.0,top
J2,111.5,-110.0,90.0,top
U1,110.3185,-110.0,0.0,bottom
